web-scraper-order,web-scraper-start-url,função / subfunção,Dotação Orçamentária,Valor Empenhado,%(B/A)%,Valor Liquidado,Valor Pago
"1676497016-1467","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RECUPERACAO DE AREAS DEGRADADAS","11.594.450,00","8.807.723,52","75,96","100.079,10","100.079,10"
"1676497016-1468","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CIENCIA E TECNOLOGIA","10.225.000,00","3.274.886,43","32,03","3.129.313,39","3.077.408,75"
"1676497016-1469","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","3.375.000,00","3.129.630,89","92,73","2.984.057,85","2.932.153,21"
"1676497016-1470","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO","6.850.000,00","145.255,54","2,12","145.255,54","145.255,54"
"1676497016-1471","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","AGRICULTURA","62.600,00","0,00","0,00","0,00","0,00"
"1676497016-1472","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PROMOCAO DA PRODUCAO VEGETAL","62.600,00","0,00","0,00","0,00","0,00"
"1676497016-1473","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMERCIO E SERVICOS","142.858.846,00","47.022.243,44","32,92","20.245.951,82","16.572.914,96"
"1676497016-1474","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","5.020.322,00","4.771.440,08","95,04","4.730.935,39","4.610.807,13"
"1676497016-1475","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","1.000.000,00","0,00","0,00","0,00","0,00"
"1676497016-1476","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","136.838.524,00","42.250.803,36","30,88","15.515.016,43","11.962.107,83"
"1676497016-1477","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACOES","112.000,00","0,00","0,00","0,00","0,00"
"1676497016-1478","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","112.000,00","0,00","0,00","0,00","0,00"
"1676497016-1479","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO E LAZER","36.522.486,00","17.671.453,74","48,39","14.057.971,45","13.067.680,11"
"1676497016-1480","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","4.349.222,00","3.928.374,03","90,32","3.861.444,63","3.686.046,09"
"1676497016-1481","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMATIZACAO","5.000,00","4.942,37","98,85","4.942,37","4.942,37"
"1676497016-1482","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","0,00","0,00","0,00","0,00","0,00"
"1676497016-1483","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO DE RENDIMENTO","1.525,00","0,00","0,00","0,00","0,00"
"1676497016-1484","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DESPORTO COMUNITARIO","4.904.606,00","2.078.410,69","42,38","1.499.420,08","1.497.585,72"
"1676497016-1485","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LAZER","27.262.133,00","11.659.726,65","42,77","8.692.164,37","7.879.105,93"
"1676497016-1486","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ENCARGOS ESPECIAIS","143.487.643,00","135.560.556,70","94,48","131.529.977,23","114.206.951,69"
"1676497016-1487","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA INTERNA","42.193.945,00","42.192.018,13","100,00","39.805.418,13","39.805.418,13"
"1676497016-1488","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SERVICO DA DIVIDA EXTERNA","31.157.847,00","31.157.845,47","100,00","31.157.845,47","31.157.845,47"
"1676497016-1489","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","70.135.851,00","62.210.693,10","88,70","60.566.713,63","43.243.688,09"
"1676497016-1490","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","704.078,00","0,00","0,00","0,00","0,00"
"1676497016-1491","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2015&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RESERVA DE CONTINGENCIA","704.078,00","0,00","0,00","0,00","0,00"
"1676497019-1492","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","LEGISLATIVA","136.430.930,00","130.550.367,86","95,69","130.546.980,67","130.545.509,59"
"1676497019-1493","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ACAO LEGISLATIVA","136.430.930,00","130.550.367,86","95,69","130.546.980,67","130.545.509,59"
"1676497019-1494","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","JUDICIARIA","48.735.904,00","44.443.362,91","91,19","44.246.165,53","43.539.235,82"
"1676497019-1495","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DEFESA DO INTERESSE PUBLICO NO PROCESSO JUDICIARIO","6.636.516,00","5.133.478,77","77,35","4.936.281,39","4.385.119,49"
"1676497019-1496","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","42.099.388,00","39.309.884,14","93,37","39.309.884,14","39.154.116,33"
"1676497019-1497","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ESSENCIAL A JUSTICA","700.000,00","184.352,54","26,34","173.492,54","173.492,54"
"1676497019-1498","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","700.000,00","184.352,54","26,34","173.492,54","173.492,54"
"1676497019-1499","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO","667.663.932,00","575.851.088,33","86,25","554.572.968,99","520.873.320,87"
"1676497019-1500","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE EXTERNO","54.250,00","39.255,00","72,36","0,00","0,00"
"1676497019-1501","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PLANEJAMENTO E ORCAMENTO","3.132.920,00","2.520.520,71","80,45","2.520.520,71","2.076.566,18"
"1676497019-1502","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","601.372.430,00","535.854.241,52","89,11","516.515.333,16","487.472.844,35"
"1676497019-1503","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO FINANCEIRA","16.917.484,00","16.787.496,31","99,23","16.787.496,31","16.763.180,32"
"1676497019-1504","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","CONTROLE INTERNO","170.000,00","0,00","0,00","0,00","0,00"
"1676497019-1505","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E FISCALIZACAO","1.496.000,00","1.277.228,22","85,38","1.274.710,08","1.274.710,08"
"1676497019-1506","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMATIZACAO","41.148.729,00","18.236.773,27","44,32","16.393.335,43","12.354.723,82"
"1676497019-1507","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","299.800,00","0,00","0,00","0,00","0,00"
"1676497019-1508","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO DE RECEITAS","2.854.319,00","1.124.415,75","39,39","1.070.415,75","920.971,89"
"1676497019-1509","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","172.000,00","0,00","0,00","0,00","0,00"
"1676497019-1510","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","NORMALIZACAO E QUALIDADE","0,00","0,00","0,00","0,00","0,00"
"1676497019-1511","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","10.000,00","0,00","0,00","0,00","0,00"
"1676497019-1512","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","OUTROS ENCARGOS ESPECIAIS","36.000,00","11.157,55","30,99","11.157,55","10.324,23"
"1676497019-1513","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SEGURANCA PUBLICA","178.246.983,00","158.127.931,00","88,71","131.683.903,96","129.992.311,33"
"1676497019-1514","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","105.491.609,00","93.861.479,88","88,98","90.972.501,70","90.820.473,02"
"1676497019-1515","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","394.671,00","0,00","0,00","0,00","0,00"
"1676497019-1516","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","POLICIAMENTO","63.196.940,00","59.539.938,93","94,21","37.091.505,07","35.784.928,52"
"1676497019-1517","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DEFESA CIVIL","3.225.400,00","1.984.431,98","61,53","1.984.431,98","1.872.336,98"
"1676497019-1518","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","4.330.863,00","2.742.080,21","63,31","1.635.465,21","1.514.572,81"
"1676497019-1519","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TURISMO","1.607.500,00","0,00","0,00","0,00","0,00"
"1676497019-1520","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","RELACOES EXTERIORES","4.000,00","0,00","0,00","0,00","0,00"
"1676497019-1521","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIFUSAO CULTURAL","4.000,00","0,00","0,00","0,00","0,00"
"1676497019-1522","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA SOCIAL","135.267.779,00","75.567.931,41","55,87","71.252.061,05","64.974.558,82"
"1676497019-1523","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","37.205.101,00","34.152.179,94","91,79","33.349.936,74","31.526.529,81"
"1676497019-1524","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMATIZACAO","190.000,00","0,00","0,00","0,00","0,00"
"1676497019-1525","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","POLICIAMENTO","1.320.206,00","0,00","0,00","0,00","0,00"
"1676497019-1526","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA A CRIANCA E AO ADOLESCENTE","16.277.909,00","10.261.457,23","63,04","9.934.618,11","8.730.800,18"
"1676497019-1527","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA COMUNITARIA","75.260.261,00","29.309.844,17","38,94","26.133.552,13","23.396.109,86"
"1676497019-1528","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ALIMENTACAO E NUTRICAO","3.059.800,00","1.518.786,03","49,64","1.509.290,03","1.004.359,49"
"1676497019-1529","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS","1.954.502,00","325.664,04","16,66","324.664,04","316.759,48"
"1676497019-1530","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PREVIDENCIA SOCIAL","521.666.396,00","474.414.194,43","90,94","474.351.142,77","474.329.275,55"
"1676497019-1531","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","520.416.396,00","474.179.657,48","91,12","474.116.605,82","474.094.738,60"
"1676497019-1532","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMATIZACAO","1.200.000,00","234.536,95","19,54","234.536,95","234.536,95"
"1676497019-1533","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","COMUNICACAO SOCIAL","20.000,00","0,00","0,00","0,00","0,00"
"1676497019-1534","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PROTECAO E BENEFICIOS AO TRABALHADOR","30.000,00","0,00","0,00","0,00","0,00"
"1676497019-1535","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SAUDE","1.893.775.503,00","1.771.835.384,86","93,56","1.729.216.547,57","1.649.603.997,88"
"1676497019-1536","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ADMINISTRACAO GERAL","561.508.592,00","523.586.799,75","93,25","513.194.605,56","485.579.892,89"
"1676497019-1537","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TECNOLOGIA DA INFORMATIZACAO","651.000,00","113.697,00","17,46","113.697,00","112.351,00"
"1676497019-1538","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","FORMACAO DE RECURSOS HUMANOS","84.000,00","7.200,00","8,57","7.200,00","7.200,00"
"1676497019-1539","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA AO IDOSO","77.600,00","0,00","0,00","0,00","0,00"
"1676497019-1540","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ATENCAO BASICA","165.850.459,00","153.766.757,44","92,71","146.074.590,06","142.266.725,05"
"1676497019-1541","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","ASSISTENCIA HOSPITALAR E AMBULATORIAL","1.112.403.274,00","1.042.892.908,52","93,75","1.019.455.800,63","971.787.679,15"
"1676497019-1542","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","SUPORTE PROFILATICO E TERAPEUTICO","16.221.177,00","15.995.967,26","98,61","15.010.311,98","14.572.626,38"
"1676497019-1543","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA SANITARIA","36.734.042,00","35.236.034,54","95,92","35.124.321,99","35.041.503,06"
"1676497019-1544","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","VIGILANCIA EPIDEMIOLOGICA","239.759,00","236.020,35","98,44","236.020,35","236.020,35"
"1676497019-1545","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PROTECAO E BENEFICIOS AO TRABALHADOR","5.600,00","0,00","0,00","0,00","0,00"
"1676497019-1546","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","TRABALHO","23.452.256,00","4.922.471,27","20,99","4.266.402,96","2.763.370,66"
"1676497019-1547","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","PROTECAO E BENEFICIOS AO TRABALHADOR","1.219.800,00","468.101,26","38,38","271.617,06","236.808,06"
"1676497019-1548","https://transparencia.fortaleza.ce.gov.br/index.php/despesa/consultar?exercicio=2014&opcaoPesquisa=porAreaAtuacao&filtro=Digite+nome%2C+parte+do+nome+ou+CPF%2FCNPJ&btnConsolidada=Consultar","EMPREGABILIDADE","19.885.135,00","4.454.370,01","22,40","3.994.785,90","2.526.562,60"
